complaint_id,date_received,product,consumer_complaint_narrative,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed,category
100000,2025-01-12,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. This has been ongoing for several months.,Citibank,NY,Referral,Closed with explanation,No,N/A,0
100001,2024-08-14,Debt collection,I received threatening calls from a collection agency about a debt I don't recognize. The company has not responded to my previous complaints.,Wells Fargo,CA,Web,Closed with non-monetary relief,Yes,Yes,1
100002,2024-02-12,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated. The company has not responded to my previous complaints.,Wells Fargo,NC,Referral,In progress,Yes,N/A,0
100003,2024-07-18,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. I have tried to resolve this issue multiple times.,Navy Federal,PA,Web,Closed with non-monetary relief,Yes,N/A,2
100004,2025-01-09,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. This situation is causing me significant financial stress.,Chase,NY,Phone,Closed with explanation,Yes,Yes,2
100005,2025-07-13,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I need immediate assistance with this matter.,Discover,IL,Email,Closed with monetary relief,Yes,N/A,0
100006,2024-07-07,Debt collection,Debt collector is calling me multiple times a day despite my request to stop contact. I have documentation to support my claim.,USAA,TX,Postal mail,Closed with explanation,Yes,N/A,1
100007,2024-01-16,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items.,Navy Federal,IL,Email,Closed with non-monetary relief,Yes,No,0
100008,2023-12-13,Debt collection,I received threatening calls from a collection agency about a debt I don't recognize. This has been ongoing for several months.,Citibank,PA,Web,Closed with non-monetary relief,Yes,Yes,1
100009,2025-01-09,Debt collection,I received threatening calls from a collection agency about a debt I don't recognize. I need immediate assistance with this matter.,Synchrony Financial,IL,Referral,Closed with monetary relief,Yes,Yes,1
100010,2023-12-04,Debt collection,I requested validation of debt but the collector continued collection activities. I have tried to resolve this issue multiple times.,Capital One,TX,Email,Closed with non-monetary relief,Yes,Yes,1
100011,2024-07-04,Mortgage,My mortgage company is charging excessive and unexplained fees on my account. I have tried to resolve this issue multiple times.,American Express,PA,Email,Closed with non-monetary relief,No,N/A,3
100012,2025-08-24,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report.,Citibank,CA,Phone,Closed,Yes,N/A,0
100013,2025-03-18,Debt collection,Collection agency is attempting to collect on a debt that is past the statute of limitations. This has been ongoing for several months.,Navy Federal,IL,Referral,Closed,Yes,No,1
100014,2024-07-08,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I have documentation to support my claim.,Chase,PA,Referral,Closed with non-monetary relief,Yes,No,0
100015,2024-03-01,Consumer Loan,The loan terms changed after I signed the agreement without my consent. I have documentation to support my claim.,American Express,MI,Postal mail,Closed with monetary relief,Yes,N/A,2
100016,2024-05-17,Debt collection,I am being harassed by debt collectors calling outside of permitted hours. I have tried to resolve this issue multiple times.,Synchrony Financial,TX,Web,Closed with explanation,Yes,N/A,1
100017,2025-05-10,Consumer Loan,Lender added hidden fees to my consumer loan that were not in the original agreement. I have documentation to support my claim.,American Express,MI,Web,Closed,Yes,N/A,2
100018,2024-06-28,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. The company has not responded to my previous complaints.,USAA,PA,Email,Closed with explanation,Yes,Yes,1
100019,2024-04-19,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I have documentation to support my claim.,Capital One,IL,Web,Closed with monetary relief,Yes,No,0
